state,series_id,year,month,period,period_name,employment_rate,date
Alaska,LAUST020000000000007,2023,7,M07,July,63.9,2023-07-01
Alaska,LAUST020000000000007,2023,8,M08,August,63.4,2023-08-01
Alaska,LAUST020000000000007,2023,9,M09,September,62.6,2023-09-01
Alaska,LAUST020000000000007,2023,10,M10,October,61.8,2023-10-01
Alaska,LAUST020000000000007,2023,11,M11,November,61.7,2023-11-01
Alaska,LAUST020000000000007,2023,12,M12,December,60.9,2023-12-01
Alaska,LAUST020000000000007,2024,1,M01,January,60.3,2024-01-01
Alaska,LAUST020000000000007,2024,2,M02,February,60.5,2024-02-01
Alaska,LAUST020000000000007,2024,3,M03,March,61.0,2024-03-01
Alaska,LAUST020000000000007,2024,4,M04,April,61.0,2024-04-01
Alaska,LAUST020000000000007,2024,5,M05,May,61.7,2024-05-01
Alaska,LAUST020000000000007,2024,6,M06,June,62.4,2024-06-01
Alaska,LAUST020000000000007,2024,7,M07,July,63.3,2024-07-01
Alaska,LAUST020000000000007,2024,8,M08,August,62.9,2024-08-01
Alaska,LAUST020000000000007,2024,9,M09,September,62.4,2024-09-01
Alaska,LAUST020000000000007,2024,10,M10,October,61.6,2024-10-01
Alaska,LAUST020000000000007,2024,11,M11,November,61.3,2024-11-01
Alaska,LAUST020000000000007,2024,12,M12,December,61.0,2024-12-01
Alaska,LAUST020000000000007,2025,1,M01,January,61.0,2025-01-01
Alaska,LAUST020000000000007,2025,2,M02,February,61.2,2025-02-01
Alaska,LAUST020000000000007,2025,3,M03,March,61.7,2025-03-01
Alaska,LAUST020000000000007,2025,4,M04,April,61.8,2025-04-01
Alaska,LAUST020000000000007,2025,5,M05,May,61.9,2025-05-01
Alaska,LAUST020000000000007,2025,6,M06,June,62.8,2025-06-01
Alaska,LAUST020000000000007,2025,7,M07,July,63.7,2025-07-01
Alaska,LAUST020000000000007,2025,8,M08,August,63.8,2025-08-01
Alaska,LAUST020000000000007,2025,9,M09,September,63.1,2025-09-01
Alaska,LAUST020000000000007,2025,10,M10,October,,2025-10-01
Alaska,LAUST020000000000007,2025,11,M11,November,62.6,2025-11-01
Alaska,LAUST020000000000007,2025,12,M12,December,62.2,2025-12-01
Arizona,LAUST040000000000007,2022,1,M01,January,58.9,2022-01-01
Arizona,LAUST040000000000007,2022,2,M02,February,59.1,2022-02-01
Arizona,LAUST040000000000007,2022,3,M03,March,59.5,2022-03-01
Arizona,LAUST040000000000007,2022,4,M04,April,59.1,2022-04-01
Arizona,LAUST040000000000007,2022,5,M05,May,59.3,2022-05-01
Arizona,LAUST040000000000007,2022,6,M06,June,58.9,2022-06-01
Arizona,LAUST040000000000007,2022,7,M07,July,58.8,2022-07-01
Arizona,LAUST040000000000007,2022,8,M08,August,58.9,2022-08-01
Arizona,LAUST040000000000007,2022,9,M09,September,59.3,2022-09-01
Arizona,LAUST040000000000007,2022,10,M10,October,59.1,2022-10-01
Arizona,LAUST040000000000007,2022,11,M11,November,59.3,2022-11-01
Arizona,LAUST040000000000007,2022,12,M12,December,59.2,2022-12-01
Arizona,LAUST040000000000007,2023,1,M01,January,59.3,2023-01-01
Arizona,LAUST040000000000007,2023,2,M02,February,59.4,2023-02-01
Arizona,LAUST040000000000007,2023,3,M03,March,59.8,2023-03-01
Arizona,LAUST040000000000007,2023,4,M04,April,59.6,2023-04-01
Arizona,LAUST040000000000007,2023,5,M05,May,59.6,2023-05-01
Arizona,LAUST040000000000007,2023,6,M06,June,59.4,2023-06-01
Arizona,LAUST040000000000007,2023,7,M07,July,59.4,2023-07-01
Arizona,LAUST040000000000007,2023,8,M08,August,59.4,2023-08-01
Arizona,LAUST040000000000007,2023,9,M09,September,59.8,2023-09-01
Arizona,LAUST040000000000007,2023,10,M10,October,59.5,2023-10-01
Arizona,LAUST040000000000007,2023,11,M11,November,60.0,2023-11-01
Arizona,LAUST040000000000007,2023,12,M12,December,59.4,2023-12-01
Arizona,LAUST040000000000007,2024,1,M01,January,59.6,2024-01-01
Arizona,LAUST040000000000007,2024,2,M02,February,59.6,2024-02-01
Arizona,LAUST040000000000007,2024,3,M03,March,59.9,2024-03-01
Arizona,LAUST040000000000007,2024,4,M04,April,59.6,2024-04-01
Arizona,LAUST040000000000007,2024,5,M05,May,59.4,2024-05-01
Arizona,LAUST040000000000007,2024,6,M06,June,59.1,2024-06-01
Arizona,LAUST040000000000007,2024,7,M07,July,59.0,2024-07-01
Arizona,LAUST040000000000007,2024,8,M08,August,58.8,2024-08-01
Arizona,LAUST040000000000007,2024,9,M09,September,59.4,2024-09-01
Arizona,LAUST040000000000007,2024,10,M10,October,59.1,2024-10-01
Arizona,LAUST040000000000007,2024,11,M11,November,59.2,2024-11-01
Arizona,LAUST040000000000007,2024,12,M12,December,59.0,2024-12-01
Arizona,LAUST040000000000007,2025,1,M01,January,59.5,2025-01-01
Arizona,LAUST040000000000007,2025,2,M02,February,59.3,2025-02-01
Arizona,LAUST040000000000007,2025,3,M03,March,59.1,2025-03-01
Arizona,LAUST040000000000007,2025,4,M04,April,59.1,2025-04-01
Arizona,LAUST040000000000007,2025,5,M05,May,58.8,2025-05-01
Arizona,LAUST040000000000007,2025,6,M06,June,59.1,2025-06-01
Arizona,LAUST040000000000007,2025,7,M07,July,58.9,2025-07-01
Arizona,LAUST040000000000007,2025,8,M08,August,58.6,2025-08-01
Arizona,LAUST040000000000007,2025,9,M09,September,59.7,2025-09-01
Arizona,LAUST040000000000007,2025,10,M10,October,,2025-10-01
Arizona,LAUST040000000000007,2025,11,M11,November,59.6,2025-11-01
Arizona,LAUST040000000000007,2025,12,M12,December,59.3,2025-12-01
Arkansas,LAUST050000000000007,2022,1,M01,January,54.3,2022-01-01
Arkansas,LAUST050000000000007,2022,2,M02,February,55.2,2022-02-01
Arkansas,LAUST050000000000007,2022,3,M03,March,55.8,2022-03-01
Arkansas,LAUST050000000000007,2022,4,M04,April,55.9,2022-04-01
Arkansas,LAUST050000000000007,2022,5,M05,May,55.9,2022-05-01
Arkansas,LAUST050000000000007,2022,6,M06,June,56.2,2022-06-01
Arkansas,LAUST050000000000007,2022,7,M07,July,55.8,2022-07-01
Arkansas,LAUST050000000000007,2022,8,M08,August,55.6,2022-08-01
Arkansas,LAUST050000000000007,2022,9,M09,September,55.8,2022-09-01
Arkansas,LAUST050000000000007,2022,10,M10,October,55.7,2022-10-01
Arkansas,LAUST050000000000007,2022,11,M11,November,55.5,2022-11-01
Arkansas,LAUST050000000000007,2022,12,M12,December,55.4,2022-12-01
Arkansas,LAUST050000000000007,2023,1,M01,January,54.7,2023-01-01
Arkansas,LAUST050000000000007,2023,2,M02,February,55.5,2023-02-01
Arkansas,LAUST050000000000007,2023,3,M03,March,56.1,2023-03-01
Arkansas,LAUST050000000000007,2023,4,M04,April,56.4,2023-04-01
Arkansas,LAUST050000000000007,2023,5,M05,May,56.2,2023-05-01
Arkansas,LAUST050000000000007,2023,6,M06,June,56.5,2023-06-01
Arkansas,LAUST050000000000007,2023,7,M07,July,56.3,2023-07-01
Arkansas,LAUST050000000000007,2023,8,M08,August,56.0,2023-08-01
Arkansas,LAUST050000000000007,2023,9,M09,September,56.2,2023-09-01
Arkansas,LAUST050000000000007,2023,10,M10,October,56.0,2023-10-01
Arkansas,LAUST050000000000007,2023,11,M11,November,56.0,2023-11-01
Arkansas,LAUST050000000000007,2023,12,M12,December,55.5,2023-12-01
Arkansas,LAUST050000000000007,2024,1,M01,January,54.8,2024-01-01
Arkansas,LAUST050000000000007,2024,2,M02,February,55.6,2024-02-01
Arkansas,LAUST050000000000007,2024,3,M03,March,56.3,2024-03-01
Arkansas,LAUST050000000000007,2024,4,M04,April,56.6,2024-04-01
Arkansas,LAUST050000000000007,2024,5,M05,May,56.3,2024-05-01
Arkansas,LAUST050000000000007,2024,6,M06,June,56.7,2024-06-01
Arkansas,LAUST050000000000007,2024,7,M07,July,56.7,2024-07-01
Arkansas,LAUST050000000000007,2024,8,M08,August,56.2,2024-08-01
Arkansas,LAUST050000000000007,2024,9,M09,September,56.5,2024-09-01
Arkansas,LAUST050000000000007,2024,10,M10,October,56.4,2024-10-01
Arkansas,LAUST050000000000007,2024,11,M11,November,56.2,2024-11-01
Arkansas,LAUST050000000000007,2024,12,M12,December,56.0,2024-12-01
Arkansas,LAUST050000000000007,2025,1,M01,January,55.4,2025-01-01
Arkansas,LAUST050000000000007,2025,2,M02,February,55.8,2025-02-01
Arkansas,LAUST050000000000007,2025,3,M03,March,56.2,2025-03-01
Arkansas,LAUST050000000000007,2025,4,M04,April,56.9,2025-04-01
Arkansas,LAUST050000000000007,2025,5,M05,May,56.4,2025-05-01
Arkansas,LAUST050000000000007,2025,6,M06,June,56.6,2025-06-01
Arkansas,LAUST050000000000007,2025,7,M07,July,56.5,2025-07-01
Arkansas,LAUST050000000000007,2025,8,M08,August,56.4,2025-08-01
Arkansas,LAUST050000000000007,2025,9,M09,September,56.5,2025-09-01
Arkansas,LAUST050000000000007,2025,10,M10,October,,2025-10-01
Arkansas,LAUST050000000000007,2025,11,M11,November,56.5,2025-11-01
Arkansas,LAUST050000000000007,2025,12,M12,December,56.4,2025-12-01
California,LAUST060000000000007,2022,1,M01,January,58.2,2022-01-01
California,LAUST060000000000007,2022,2,M02,February,58.9,2022-02-01
California,LAUST060000000000007,2022,3,M03,March,59.2,2022-03-01
California,LAUST060000000000007,2022,4,M04,April,58.9,2022-04-01
California,LAUST060000000000007,2022,5,M05,May,59.4,2022-05-01
California,LAUST060000000000007,2022,6,M06,June,58.9,2022-06-01
California,LAUST060000000000007,2022,7,M07,July,59.1,2022-07-01
California,LAUST060000000000007,2022,8,M08,August,59.1,2022-08-01
California,LAUST060000000000007,2022,9,M09,September,59.5,2022-09-01
California,LAUST060000000000007,2022,10,M10,October,59.4,2022-10-01
California,LAUST060000000000007,2022,11,M11,November,59.3,2022-11-01
California,LAUST060000000000007,2022,12,M12,December,59.2,2022-12-01
California,LAUST060000000000007,2023,1,M01,January,58.8,2023-01-01
California,LAUST060000000000007,2023,2,M02,February,59.3,2023-02-01
California,LAUST060000000000007,2023,3,M03,March,59.5,2023-03-01
California,LAUST060000000000007,2023,4,M04,April,59.3,2023-04-01
California,LAUST060000000000007,2023,5,M05,May,59.4,2023-05-01
California,LAUST060000000000007,2023,6,M06,June,59.0,2023-06-01
California,LAUST060000000000007,2023,7,M07,July,59.3,2023-07-01
California,LAUST060000000000007,2023,8,M08,August,59.1,2023-08-01
California,LAUST060000000000007,2023,9,M09,September,59.5,2023-09-01
California,LAUST060000000000007,2023,10,M10,October,59.3,2023-10-01
California,LAUST060000000000007,2023,11,M11,November,59.4,2023-11-01
California,LAUST060000000000007,2023,12,M12,December,58.8,2023-12-01
California,LAUST060000000000007,2024,1,M01,January,58.6,2024-01-01
California,LAUST060000000000007,2024,2,M02,February,58.9,2024-02-01
California,LAUST060000000000007,2024,3,M03,March,59.1,2024-03-01
California,LAUST060000000000007,2024,4,M04,April,58.9,2024-04-01
California,LAUST060000000000007,2024,5,M05,May,58.9,2024-05-01
California,LAUST060000000000007,2024,6,M06,June,58.6,2024-06-01
California,LAUST060000000000007,2024,7,M07,July,58.8,2024-07-01
California,LAUST060000000000007,2024,8,M08,August,58.6,2024-08-01
California,LAUST060000000000007,2024,9,M09,September,59.2,2024-09-01
California,LAUST060000000000007,2024,10,M10,October,58.9,2024-10-01
California,LAUST060000000000007,2024,11,M11,November,58.8,2024-11-01
California,LAUST060000000000007,2024,12,M12,December,58.7,2024-12-01
California,LAUST060000000000007,2025,1,M01,January,58.6,2025-01-01
California,LAUST060000000000007,2025,2,M02,February,58.8,2025-02-01
California,LAUST060000000000007,2025,3,M03,March,59.2,2025-03-01
California,LAUST060000000000007,2025,4,M04,April,59.3,2025-04-01
California,LAUST060000000000007,2025,5,M05,May,59.3,2025-05-01
California,LAUST060000000000007,2025,6,M06,June,58.6,2025-06-01
California,LAUST060000000000007,2025,7,M07,July,58.6,2025-07-01
California,LAUST060000000000007,2025,8,M08,August,59.0,2025-08-01
California,LAUST060000000000007,2025,9,M09,September,59.3,2025-09-01
California,LAUST060000000000007,2025,10,M10,October,,2025-10-01
California,LAUST060000000000007,2025,11,M11,November,59.5,2025-11-01
California,LAUST060000000000007,2025,12,M12,December,59.1,2025-12-01
Colorado,LAUST080000000000007,2022,1,M01,January,65.3,2022-01-01
Colorado,LAUST080000000000007,2022,2,M02,February,65.7,2022-02-01
Colorado,LAUST080000000000007,2022,3,M03,March,65.9,2022-03-01
Colorado,LAUST080000000000007,2022,4,M04,April,65.8,2022-04-01
Colorado,LAUST080000000000007,2022,5,M05,May,66.0,2022-05-01
Colorado,LAUST080000000000007,2022,6,M06,June,66.1,2022-06-01
Colorado,LAUST080000000000007,2022,7,M07,July,66.1,2022-07-01
Colorado,LAUST080000000000007,2022,8,M08,August,66.2,2022-08-01
Colorado,LAUST080000000000007,2022,9,M09,September,66.4,2022-09-01
Colorado,LAUST080000000000007,2022,10,M10,October,66.1,2022-10-01
Colorado,LAUST080000000000007,2022,11,M11,November,65.9,2022-11-01
Colorado,LAUST080000000000007,2022,12,M12,December,65.9,2022-12-01
Colorado,LAUST080000000000007,2023,1,M01,January,65.6,2023-01-01
Colorado,LAUST080000000000007,2023,2,M02,February,65.9,2023-02-01
Colorado,LAUST080000000000007,2023,3,M03,March,66.0,2023-03-01
Colorado,LAUST080000000000007,2023,4,M04,April,65.9,2023-04-01
Colorado,LAUST080000000000007,2023,5,M05,May,65.8,2023-05-01
Colorado,LAUST080000000000007,2023,6,M06,June,66.1,2023-06-01
Colorado,LAUST080000000000007,2023,7,M07,July,66.2,2023-07-01
Colorado,LAUST080000000000007,2023,8,M08,August,66.1,2023-08-01
Colorado,LAUST080000000000007,2023,9,M09,September,66.2,2023-09-01
Colorado,LAUST080000000000007,2023,10,M10,October,65.9,2023-10-01
Colorado,LAUST080000000000007,2023,11,M11,November,66.0,2023-11-01
Colorado,LAUST080000000000007,2023,12,M12,December,65.3,2023-12-01
Colorado,LAUST080000000000007,2024,1,M01,January,64.9,2024-01-01
Colorado,LAUST080000000000007,2024,2,M02,February,65.1,2024-02-01
Colorado,LAUST080000000000007,2024,3,M03,March,65.2,2024-03-01
Colorado,LAUST080000000000007,2024,4,M04,April,65.2,2024-04-01
Colorado,LAUST080000000000007,2024,5,M05,May,65.0,2024-05-01
Colorado,LAUST080000000000007,2024,6,M06,June,65.3,2024-06-01
Colorado,LAUST080000000000007,2024,7,M07,July,65.4,2024-07-01
Colorado,LAUST080000000000007,2024,8,M08,August,65.3,2024-08-01
Colorado,LAUST080000000000007,2024,9,M09,September,65.5,2024-09-01
Colorado,LAUST080000000000007,2024,10,M10,October,65.2,2024-10-01
Colorado,LAUST080000000000007,2024,11,M11,November,64.8,2024-11-01
Colorado,LAUST080000000000007,2024,12,M12,December,64.7,2024-12-01
Colorado,LAUST080000000000007,2025,1,M01,January,64.5,2025-01-01
Colorado,LAUST080000000000007,2025,2,M02,February,64.0,2025-02-01
Colorado,LAUST080000000000007,2025,3,M03,March,64.2,2025-03-01
Colorado,LAUST080000000000007,2025,4,M04,April,64.5,2025-04-01
Colorado,LAUST080000000000007,2025,5,M05,May,64.2,2025-05-01
Colorado,LAUST080000000000007,2025,6,M06,June,64.9,2025-06-01
Colorado,LAUST080000000000007,2025,7,M07,July,65.0,2025-07-01
Colorado,LAUST080000000000007,2025,8,M08,August,64.9,2025-08-01
Colorado,LAUST080000000000007,2025,9,M09,September,64.8,2025-09-01
Colorado,LAUST080000000000007,2025,10,M10,October,,2025-10-01
Colorado,LAUST080000000000007,2025,11,M11,November,64.2,2025-11-01
Colorado,LAUST080000000000007,2025,12,M12,December,64.1,2025-12-01
Connecticut,LAUST090000000000007,2022,1,M01,January,62.7,2022-01-01
Connecticut,LAUST090000000000007,2022,2,M02,February,62.5,2022-02-01
Connecticut,LAUST090000000000007,2022,3,M03,March,63.2,2022-03-01
Connecticut,LAUST090000000000007,2022,4,M04,April,62.6,2022-04-01
Connecticut,LAUST090000000000007,2022,5,M05,May,63.2,2022-05-01
Connecticut,LAUST090000000000007,2022,6,M06,June,63.4,2022-06-01
Connecticut,LAUST090000000000007,2022,7,M07,July,63.3,2022-07-01
Connecticut,LAUST090000000000007,2022,8,M08,August,62.6,2022-08-01
Connecticut,LAUST090000000000007,2022,9,M09,September,62.6,2022-09-01
Connecticut,LAUST090000000000007,2022,10,M10,October,62.4,2022-10-01
Connecticut,LAUST090000000000007,2022,11,M11,November,62.5,2022-11-01
Connecticut,LAUST090000000000007,2022,12,M12,December,62.4,2022-12-01
Connecticut,LAUST090000000000007,2023,1,M01,January,61.8,2023-01-01
Connecticut,LAUST090000000000007,2023,2,M02,February,61.4,2023-02-01
Connecticut,LAUST090000000000007,2023,3,M03,March,62.0,2023-03-01
Connecticut,LAUST090000000000007,2023,4,M04,April,62.0,2023-04-01
Connecticut,LAUST090000000000007,2023,5,M05,May,62.4,2023-05-01
Connecticut,LAUST090000000000007,2023,6,M06,June,63.0,2023-06-01
Connecticut,LAUST090000000000007,2023,7,M07,July,63.2,2023-07-01
Connecticut,LAUST090000000000007,2023,8,M08,August,62.5,2023-08-01
Connecticut,LAUST090000000000007,2023,9,M09,September,62.7,2023-09-01
Connecticut,LAUST090000000000007,2023,10,M10,October,62.5,2023-10-01
Connecticut,LAUST090000000000007,2023,11,M11,November,62.9,2023-11-01
Connecticut,LAUST090000000000007,2023,12,M12,December,62.1,2023-12-01
Connecticut,LAUST090000000000007,2024,1,M01,January,61.9,2024-01-01
Connecticut,LAUST090000000000007,2024,2,M02,February,61.6,2024-02-01
Connecticut,LAUST090000000000007,2024,3,M03,March,62.4,2024-03-01
Connecticut,LAUST090000000000007,2024,4,M04,April,62.3,2024-04-01
Connecticut,LAUST090000000000007,2024,5,M05,May,62.8,2024-05-01
Connecticut,LAUST090000000000007,2024,6,M06,June,63.3,2024-06-01
Connecticut,LAUST090000000000007,2024,7,M07,July,63.4,2024-07-01
Connecticut,LAUST090000000000007,2024,8,M08,August,62.8,2024-08-01
Connecticut,LAUST090000000000007,2024,9,M09,September,63.3,2024-09-01
Connecticut,LAUST090000000000007,2024,10,M10,October,63.2,2024-10-01
Connecticut,LAUST090000000000007,2024,11,M11,November,63.2,2024-11-01
Connecticut,LAUST090000000000007,2024,12,M12,December,63.2,2024-12-01
Connecticut,LAUST090000000000007,2025,1,M01,January,62.1,2025-01-01
Connecticut,LAUST090000000000007,2025,2,M02,February,61.4,2025-02-01
Connecticut,LAUST090000000000007,2025,3,M03,March,62.0,2025-03-01
Connecticut,LAUST090000000000007,2025,4,M04,April,62.6,2025-04-01
Connecticut,LAUST090000000000007,2025,5,M05,May,62.4,2025-05-01
Connecticut,LAUST090000000000007,2025,6,M06,June,62.5,2025-06-01
Connecticut,LAUST090000000000007,2025,7,M07,July,62.6,2025-07-01
Connecticut,LAUST090000000000007,2025,8,M08,August,61.8,2025-08-01
Connecticut,LAUST090000000000007,2025,9,M09,September,61.5,2025-09-01
Connecticut,LAUST090000000000007,2025,10,M10,October,,2025-10-01
Connecticut,LAUST090000000000007,2025,11,M11,November,61.6,2025-11-01
Connecticut,LAUST090000000000007,2025,12,M12,December,60.9,2025-12-01
Delaware,LAUST100000000000007,2022,1,M01,January,58.0,2022-01-01
Delaware,LAUST100000000000007,2022,2,M02,February,58.2,2022-02-01
Delaware,LAUST100000000000007,2022,3,M03,March,58.6,2022-03-01
Delaware,LAUST100000000000007,2022,4,M04,April,58.5,2022-04-01
Delaware,LAUST100000000000007,2022,5,M05,May,58.3,2022-05-01
Delaware,LAUST100000000000007,2022,6,M06,June,58.3,2022-06-01
Delaware,LAUST100000000000007,2022,7,M07,July,58.3,2022-07-01
Delaware,LAUST100000000000007,2022,8,M08,August,58.0,2022-08-01
Delaware,LAUST100000000000007,2022,9,M09,September,57.6,2022-09-01
Delaware,LAUST100000000000007,2022,10,M10,October,57.9,2022-10-01
Delaware,LAUST100000000000007,2022,11,M11,November,58.0,2022-11-01
Delaware,LAUST100000000000007,2022,12,M12,December,58.3,2022-12-01
Delaware,LAUST100000000000007,2023,1,M01,January,57.9,2023-01-01
Delaware,LAUST100000000000007,2023,2,M02,February,58.0,2023-02-01
Delaware,LAUST100000000000007,2023,3,M03,March,58.6,2023-03-01
Delaware,LAUST100000000000007,2023,4,M04,April,58.8,2023-04-01
Delaware,LAUST100000000000007,2023,5,M05,May,58.4,2023-05-01
Delaware,LAUST100000000000007,2023,6,M06,June,58.6,2023-06-01
Delaware,LAUST100000000000007,2023,7,M07,July,58.8,2023-07-01
Delaware,LAUST100000000000007,2023,8,M08,August,58.5,2023-08-01
Delaware,LAUST100000000000007,2023,9,M09,September,57.9,2023-09-01
Delaware,LAUST100000000000007,2023,10,M10,October,58.1,2023-10-01
Delaware,LAUST100000000000007,2023,11,M11,November,58.3,2023-11-01
Delaware,LAUST100000000000007,2023,12,M12,December,58.0,2023-12-01
Delaware,LAUST100000000000007,2024,1,M01,January,57.4,2024-01-01
Delaware,LAUST100000000000007,2024,2,M02,February,57.5,2024-02-01
Delaware,LAUST100000000000007,2024,3,M03,March,57.8,2024-03-01
Delaware,LAUST100000000000007,2024,4,M04,April,57.9,2024-04-01
Delaware,LAUST100000000000007,2024,5,M05,May,57.4,2024-05-01
Delaware,LAUST100000000000007,2024,6,M06,June,57.6,2024-06-01
Delaware,LAUST100000000000007,2024,7,M07,July,57.6,2024-07-01
Delaware,LAUST100000000000007,2024,8,M08,August,57.3,2024-08-01
Delaware,LAUST100000000000007,2024,9,M09,September,57.0,2024-09-01
Delaware,LAUST100000000000007,2024,10,M10,October,57.0,2024-10-01
Delaware,LAUST100000000000007,2024,11,M11,November,57.0,2024-11-01
Delaware,LAUST100000000000007,2024,12,M12,December,57.0,2024-12-01
Delaware,LAUST100000000000007,2025,1,M01,January,56.7,2025-01-01
Delaware,LAUST100000000000007,2025,2,M02,February,56.3,2025-02-01
Delaware,LAUST100000000000007,2025,3,M03,March,56.8,2025-03-01
Delaware,LAUST100000000000007,2025,4,M04,April,57.0,2025-04-01
Delaware,LAUST100000000000007,2025,5,M05,May,56.7,2025-05-01
Delaware,LAUST100000000000007,2025,6,M06,June,56.6,2025-06-01
Delaware,LAUST100000000000007,2025,7,M07,July,56.9,2025-07-01
Delaware,LAUST100000000000007,2025,8,M08,August,56.5,2025-08-01
Delaware,LAUST100000000000007,2025,9,M09,September,56.3,2025-09-01
Delaware,LAUST100000000000007,2025,10,M10,October,,2025-10-01
Delaware,LAUST100000000000007,2025,11,M11,November,56.1,2025-11-01
Delaware,LAUST100000000000007,2025,12,M12,December,56.3,2025-12-01
Florida,LAUST120000000000007,2022,1,M01,January,56.4,2022-01-01
Florida,LAUST120000000000007,2022,2,M02,February,56.8,2022-02-01
Florida,LAUST120000000000007,2022,3,M03,March,57.0,2022-03-01
Florida,LAUST120000000000007,2022,4,M04,April,57.0,2022-04-01
Florida,LAUST120000000000007,2022,5,M05,May,57.2,2022-05-01
