state,year,month,period,period_name,date,job_openings_rate
Arkansas,2025,9,M09,September,2025-09-01,4.8
Arkansas,2025,10,M10,October,2025-10-01,4.9
Arkansas,2025,11,M11,November,2025-11-01,4.7
Arkansas,2025,12,M12,December,2025-12-01,4.5
California,2022,1,M01,January,2022-01-01,6.4
California,2022,2,M02,February,2022-02-01,6.8
California,2022,3,M03,March,2022-03-01,6.8
California,2022,4,M04,April,2022-04-01,6.9
California,2022,5,M05,May,2022-05-01,7.2
California,2022,6,M06,June,2022-06-01,6.5
California,2022,7,M07,July,2022-07-01,7.5
California,2022,8,M08,August,2022-08-01,6.1
California,2022,9,M09,September,2022-09-01,6.2
California,2022,10,M10,October,2022-10-01,6.4
California,2022,11,M11,November,2022-11-01,6.2
California,2022,12,M12,December,2022-12-01,6.2
California,2023,1,M01,January,2023-01-01,5.0
California,2023,2,M02,February,2023-02-01,5.0
California,2023,3,M03,March,2023-03-01,4.8
California,2023,4,M04,April,2023-04-01,5.4
California,2023,5,M05,May,2023-05-01,4.5
California,2023,6,M06,June,2023-06-01,4.8
California,2023,7,M07,July,2023-07-01,4.8
California,2023,8,M08,August,2023-08-01,4.9
California,2023,9,M09,September,2023-09-01,4.6
California,2023,10,M10,October,2023-10-01,4.0
California,2023,11,M11,November,2023-11-01,4.1
California,2023,12,M12,December,2023-12-01,4.2
California,2024,1,M01,January,2024-01-01,4.3
California,2024,2,M02,February,2024-02-01,4.4
California,2024,3,M03,March,2024-03-01,3.8
California,2024,4,M04,April,2024-04-01,3.3
California,2024,5,M05,May,2024-05-01,3.7
California,2024,6,M06,June,2024-06-01,3.4
California,2024,7,M07,July,2024-07-01,3.5
California,2024,8,M08,August,2024-08-01,3.4
California,2024,9,M09,September,2024-09-01,2.9
California,2024,10,M10,October,2024-10-01,3.3
California,2024,11,M11,November,2024-11-01,4.1
California,2024,12,M12,December,2024-12-01,3.6
California,2025,1,M01,January,2025-01-01,3.7
California,2025,2,M02,February,2025-02-01,3.6
California,2025,3,M03,March,2025-03-01,3.5
California,2025,4,M04,April,2025-04-01,3.6
California,2025,5,M05,May,2025-05-01,3.4
California,2025,6,M06,June,2025-06-01,3.6
California,2025,7,M07,July,2025-07-01,3.9
California,2025,8,M08,August,2025-08-01,3.8
California,2025,9,M09,September,2025-09-01,3.5
California,2025,10,M10,October,2025-10-01,3.4
California,2025,11,M11,November,2025-11-01,3.5
California,2025,12,M12,December,2025-12-01,3.2
Colorado,2022,1,M01,January,2022-01-01,7.4
Colorado,2022,2,M02,February,2022-02-01,6.6
Colorado,2022,3,M03,March,2022-03-01,7.3
Colorado,2022,4,M04,April,2022-04-01,7.5
Colorado,2022,5,M05,May,2022-05-01,7.7
Colorado,2022,6,M06,June,2022-06-01,7.3
Colorado,2022,7,M07,July,2022-07-01,7.4
Colorado,2022,8,M08,August,2022-08-01,6.7
Colorado,2022,9,M09,September,2022-09-01,6.7
Colorado,2022,10,M10,October,2022-10-01,7.3
Colorado,2022,11,M11,November,2022-11-01,6.6
Colorado,2022,12,M12,December,2022-12-01,9.0
Colorado,2023,1,M01,January,2023-01-01,8.5
Colorado,2023,2,M02,February,2023-02-01,8.2
Colorado,2023,3,M03,March,2023-03-01,7.3
Colorado,2023,4,M04,April,2023-04-01,8.4
Colorado,2023,5,M05,May,2023-05-01,6.3
Colorado,2023,6,M06,June,2023-06-01,6.4
Colorado,2023,7,M07,July,2023-07-01,5.7
Colorado,2023,8,M08,August,2023-08-01,6.3
Colorado,2023,9,M09,September,2023-09-01,6.3
Colorado,2023,10,M10,October,2023-10-01,6.3
Colorado,2023,11,M11,November,2023-11-01,7.4
Colorado,2023,12,M12,December,2023-12-01,6.7
Colorado,2024,1,M01,January,2024-01-01,5.9
Colorado,2024,2,M02,February,2024-02-01,5.8
Colorado,2024,3,M03,March,2024-03-01,5.9
Colorado,2024,4,M04,April,2024-04-01,6.0
Colorado,2024,5,M05,May,2024-05-01,5.8
Colorado,2024,6,M06,June,2024-06-01,5.6
Colorado,2024,7,M07,July,2024-07-01,6.2
Colorado,2024,8,M08,August,2024-08-01,5.0
Colorado,2024,9,M09,September,2024-09-01,5.3
Colorado,2024,10,M10,October,2024-10-01,5.9
Colorado,2024,11,M11,November,2024-11-01,5.0
Colorado,2024,12,M12,December,2024-12-01,4.0
Colorado,2025,1,M01,January,2025-01-01,4.9
Colorado,2025,2,M02,February,2025-02-01,5.1
Colorado,2025,3,M03,March,2025-03-01,4.4
Colorado,2025,4,M04,April,2025-04-01,4.6
Colorado,2025,5,M05,May,2025-05-01,4.1
Colorado,2025,6,M06,June,2025-06-01,4.0
Colorado,2025,7,M07,July,2025-07-01,4.0
Colorado,2025,8,M08,August,2025-08-01,4.2
Colorado,2025,9,M09,September,2025-09-01,4.5
Colorado,2025,10,M10,October,2025-10-01,4.2
Colorado,2025,11,M11,November,2025-11-01,3.7
Colorado,2025,12,M12,December,2025-12-01,3.5
Connecticut,2022,1,M01,January,2022-01-01,5.8
Connecticut,2022,2,M02,February,2022-02-01,6.6
Connecticut,2022,3,M03,March,2022-03-01,6.4
Connecticut,2022,4,M04,April,2022-04-01,6.4
Connecticut,2022,5,M05,May,2022-05-01,6.6
Connecticut,2022,6,M06,June,2022-06-01,6.5
Connecticut,2022,7,M07,July,2022-07-01,6.6
Connecticut,2022,8,M08,August,2022-08-01,6.3
Connecticut,2022,9,M09,September,2022-09-01,7.3
Connecticut,2022,10,M10,October,2022-10-01,6.1
Connecticut,2022,11,M11,November,2022-11-01,10.3
Connecticut,2022,12,M12,December,2022-12-01,6.0
Connecticut,2023,1,M01,January,2023-01-01,5.4
Connecticut,2023,2,M02,February,2023-02-01,5.4
Connecticut,2023,3,M03,March,2023-03-01,5.7
Connecticut,2023,4,M04,April,2023-04-01,5.6
Connecticut,2023,5,M05,May,2023-05-01,4.8
Connecticut,2023,6,M06,June,2023-06-01,5.2
Connecticut,2023,7,M07,July,2023-07-01,5.1
Connecticut,2023,8,M08,August,2023-08-01,5.0
Connecticut,2023,9,M09,September,2023-09-01,5.2
Connecticut,2023,10,M10,October,2023-10-01,4.4
Connecticut,2023,11,M11,November,2023-11-01,4.7
Connecticut,2023,12,M12,December,2023-12-01,4.8
Connecticut,2024,1,M01,January,2024-01-01,5.1
Connecticut,2024,2,M02,February,2024-02-01,4.8
Connecticut,2024,3,M03,March,2024-03-01,4.6
Connecticut,2024,4,M04,April,2024-04-01,4.6
Connecticut,2024,5,M05,May,2024-05-01,4.7
Connecticut,2024,6,M06,June,2024-06-01,4.4
Connecticut,2024,7,M07,July,2024-07-01,4.3
Connecticut,2024,8,M08,August,2024-08-01,4.4
Connecticut,2024,9,M09,September,2024-09-01,4.4
Connecticut,2024,10,M10,October,2024-10-01,4.3
Connecticut,2024,11,M11,November,2024-11-01,4.4
Connecticut,2024,12,M12,December,2024-12-01,4.2
Connecticut,2025,1,M01,January,2025-01-01,4.8
Connecticut,2025,2,M02,February,2025-02-01,4.5
Connecticut,2025,3,M03,March,2025-03-01,4.3
Connecticut,2025,4,M04,April,2025-04-01,4.5
Connecticut,2025,5,M05,May,2025-05-01,4.3
Connecticut,2025,6,M06,June,2025-06-01,4.2
Connecticut,2025,7,M07,July,2025-07-01,3.9
Connecticut,2025,8,M08,August,2025-08-01,3.7
Connecticut,2025,9,M09,September,2025-09-01,4.3
Connecticut,2025,10,M10,October,2025-10-01,4.1
Connecticut,2025,11,M11,November,2025-11-01,4.1
Connecticut,2025,12,M12,December,2025-12-01,3.8
Delaware,2022,1,M01,January,2022-01-01,7.2
Delaware,2022,2,M02,February,2022-02-01,7.0
Delaware,2022,3,M03,March,2022-03-01,7.9
Delaware,2022,4,M04,April,2022-04-01,8.4
Delaware,2022,5,M05,May,2022-05-01,7.1
Delaware,2022,6,M06,June,2022-06-01,7.0
Delaware,2022,7,M07,July,2022-07-01,8.2
Delaware,2022,8,M08,August,2022-08-01,6.7
Delaware,2022,9,M09,September,2022-09-01,7.1
Delaware,2022,10,M10,October,2022-10-01,7.2
Delaware,2022,11,M11,November,2022-11-01,7.0
Delaware,2022,12,M12,December,2022-12-01,7.0
Delaware,2023,1,M01,January,2023-01-01,8.4
Delaware,2023,2,M02,February,2023-02-01,6.6
Delaware,2023,3,M03,March,2023-03-01,6.2
Delaware,2023,4,M04,April,2023-04-01,6.2
Delaware,2023,5,M05,May,2023-05-01,6.4
Delaware,2023,6,M06,June,2023-06-01,6.2
Delaware,2023,7,M07,July,2023-07-01,4.3
Delaware,2023,8,M08,August,2023-08-01,5.6
Delaware,2023,9,M09,September,2023-09-01,6.2
Delaware,2023,10,M10,October,2023-10-01,5.1
Delaware,2023,11,M11,November,2023-11-01,5.1
Delaware,2023,12,M12,December,2023-12-01,5.4
Delaware,2024,1,M01,January,2024-01-01,4.9
Delaware,2024,2,M02,February,2024-02-01,5.1
Delaware,2024,3,M03,March,2024-03-01,4.9
Delaware,2024,4,M04,April,2024-04-01,4.9
Delaware,2024,5,M05,May,2024-05-01,4.9
Delaware,2024,6,M06,June,2024-06-01,4.5
Delaware,2024,7,M07,July,2024-07-01,5.6
Delaware,2024,8,M08,August,2024-08-01,5.0
Delaware,2024,9,M09,September,2024-09-01,4.7
Delaware,2024,10,M10,October,2024-10-01,5.2
Delaware,2024,11,M11,November,2024-11-01,5.2
Delaware,2024,12,M12,December,2024-12-01,5.0
Delaware,2025,1,M01,January,2025-01-01,4.5
Delaware,2025,2,M02,February,2025-02-01,4.5
Delaware,2025,3,M03,March,2025-03-01,4.5
Delaware,2025,4,M04,April,2025-04-01,4.4
Delaware,2025,5,M05,May,2025-05-01,4.8
Delaware,2025,6,M06,June,2025-06-01,4.5
Delaware,2025,7,M07,July,2025-07-01,4.5
Delaware,2025,8,M08,August,2025-08-01,4.6
Delaware,2025,9,M09,September,2025-09-01,5.0
Delaware,2025,10,M10,October,2025-10-01,4.8
Delaware,2025,11,M11,November,2025-11-01,4.3
Delaware,2025,12,M12,December,2025-12-01,4.2
Florida,2022,1,M01,January,2022-01-01,7.1
Florida,2022,2,M02,February,2022-02-01,7.1
Florida,2022,3,M03,March,2022-03-01,8.1
Florida,2022,4,M04,April,2022-04-01,7.4
Florida,2022,5,M05,May,2022-05-01,6.7
Florida,2022,6,M06,June,2022-06-01,6.7
Florida,2022,7,M07,July,2022-07-01,6.1
Florida,2022,8,M08,August,2022-08-01,6.2
Florida,2022,9,M09,September,2022-09-01,6.3
Florida,2022,10,M10,October,2022-10-01,5.4
Florida,2022,11,M11,November,2022-11-01,6.8
Florida,2022,12,M12,December,2022-12-01,6.4
Florida,2023,1,M01,January,2023-01-01,6.6
Florida,2023,2,M02,February,2023-02-01,6.1
Florida,2023,3,M03,March,2023-03-01,6.1
Florida,2023,4,M04,April,2023-04-01,6.1
Florida,2023,5,M05,May,2023-05-01,6.0
Florida,2023,6,M06,June,2023-06-01,6.0
Florida,2023,7,M07,July,2023-07-01,5.2
Florida,2023,8,M08,August,2023-08-01,5.9
Florida,2023,9,M09,September,2023-09-01,5.8
Florida,2023,10,M10,October,2023-10-01,5.6
Florida,2023,11,M11,November,2023-11-01,5.2
Florida,2023,12,M12,December,2023-12-01,5.4
Florida,2024,1,M01,January,2024-01-01,4.9
Florida,2024,2,M02,February,2024-02-01,4.9
Florida,2024,3,M03,March,2024-03-01,4.8
Florida,2024,4,M04,April,2024-04-01,4.9
Florida,2024,5,M05,May,2024-05-01,4.8
Florida,2024,6,M06,June,2024-06-01,4.3
Florida,2024,7,M07,July,2024-07-01,4.7
Florida,2024,8,M08,August,2024-08-01,4.5
Florida,2024,9,M09,September,2024-09-01,4.0
Florida,2024,10,M10,October,2024-10-01,4.6
Florida,2024,11,M11,November,2024-11-01,4.9
Florida,2024,12,M12,December,2024-12-01,4.4
Florida,2025,1,M01,January,2025-01-01,5.0
Florida,2025,2,M02,February,2025-02-01,4.5
Florida,2025,3,M03,March,2025-03-01,3.8
Florida,2025,4,M04,April,2025-04-01,4.1
Florida,2025,5,M05,May,2025-05-01,4.6
Florida,2025,6,M06,June,2025-06-01,4.4
Florida,2025,7,M07,July,2025-07-01,3.8
Florida,2025,8,M08,August,2025-08-01,4.4
Florida,2025,9,M09,September,2025-09-01,4.6
Florida,2025,10,M10,October,2025-10-01,4.8
Florida,2025,11,M11,November,2025-11-01,4.1
Florida,2025,12,M12,December,2025-12-01,4.1
Georgia,2022,1,M01,January,2022-01-01,8.3
Georgia,2022,2,M02,February,2022-02-01,8.4
Georgia,2022,3,M03,March,2022-03-01,8.5
Georgia,2022,4,M04,April,2022-04-01,8.7
Georgia,2022,5,M05,May,2022-05-01,7.7
Georgia,2022,6,M06,June,2022-06-01,8.8
Georgia,2022,7,M07,July,2022-07-01,8.7
Georgia,2022,8,M08,August,2022-08-01,7.3
Georgia,2022,9,M09,September,2022-09-01,7.6
Georgia,2022,10,M10,October,2022-10-01,7.3
Georgia,2022,11,M11,November,2022-11-01,8.0
Georgia,2022,12,M12,December,2022-12-01,7.0
Georgia,2023,1,M01,January,2023-01-01,7.6
Georgia,2023,2,M02,February,2023-02-01,8.1
Georgia,2023,3,M03,March,2023-03-01,7.8
Georgia,2023,4,M04,April,2023-04-01,7.2
Georgia,2023,5,M05,May,2023-05-01,6.5
Georgia,2023,6,M06,June,2023-06-01,6.3
Georgia,2023,7,M07,July,2023-07-01,6.1
Georgia,2023,8,M08,August,2023-08-01,6.1
Georgia,2023,9,M09,September,2023-09-01,6.4
Georgia,2023,10,M10,October,2023-10-01,6.0
Georgia,2023,11,M11,November,2023-11-01,5.5
Georgia,2023,12,M12,December,2023-12-01,5.4
Georgia,2024,1,M01,January,2024-01-01,5.1
Georgia,2024,2,M02,February,2024-02-01,5.2
Georgia,2024,3,M03,March,2024-03-01,5.1
Georgia,2024,4,M04,April,2024-04-01,5.2
Georgia,2024,5,M05,May,2024-05-01,5.0
Georgia,2024,6,M06,June,2024-06-01,4.9
Georgia,2024,7,M07,July,2024-07-01,4.9
Georgia,2024,8,M08,August,2024-08-01,5.3
Georgia,2024,9,M09,September,2024-09-01,4.5
Georgia,2024,10,M10,October,2024-10-01,5.4
Georgia,2024,11,M11,November,2024-11-01,5.5
Georgia,2024,12,M12,December,2024-12-01,5.4
Georgia,2025,1,M01,January,2025-01-01,5.4
Georgia,2025,2,M02,February,2025-02-01,5.1
Georgia,2025,3,M03,March,2025-03-01,5.2
Georgia,2025,4,M04,April,2025-04-01,5.3
Georgia,2025,5,M05,May,2025-05-01,6.2
Georgia,2025,6,M06,June,2025-06-01,5.3
Georgia,2025,7,M07,July,2025-07-01,5.4
Georgia,2025,8,M08,August,2025-08-01,5.4
Georgia,2025,9,M09,September,2025-09-01,6.3
Georgia,2025,10,M10,October,2025-10-01,6.1
Georgia,2025,11,M11,November,2025-11-01,5.0
Georgia,2025,12,M12,December,2025-12-01,5.2
Hawaii,2022,1,M01,January,2022-01-01,6.8
Hawaii,2022,2,M02,February,2022-02-01,6.3
Hawaii,2022,3,M03,March,2022-03-01,6.3
Hawaii,2022,4,M04,April,2022-04-01,6.3
Hawaii,2022,5,M05,May,2022-05-01,5.8
Hawaii,2022,6,M06,June,2022-06-01,5.7
Hawaii,2022,7,M07,July,2022-07-01,7.3
Hawaii,2022,8,M08,August,2022-08-01,5.7
Hawaii,2022,9,M09,September,2022-09-01,5.4
Hawaii,2022,10,M10,October,2022-10-01,5.3
Hawaii,2022,11,M11,November,2022-11-01,4.8
Hawaii,2022,12,M12,December,2022-12-01,6.1
Hawaii,2023,1,M01,January,2023-01-01,5.1
Hawaii,2023,2,M02,February,2023-02-01,5.4
Hawaii,2023,3,M03,March,2023-03-01,4.8
Hawaii,2023,4,M04,April,2023-04-01,5.7
Hawaii,2023,5,M05,May,2023-05-01,4.2
Hawaii,2023,6,M06,June,2023-06-01,4.5
Hawaii,2023,7,M07,July,2023-07-01,4.9
Hawaii,2023,8,M08,August,2023-08-01,4.8
Hawaii,2023,9,M09,September,2023-09-01,5.1
Hawaii,2023,10,M10,October,2023-10-01,4.3
Hawaii,2023,11,M11,November,2023-11-01,4.5
Hawaii,2023,12,M12,December,2023-12-01,4.2
Hawaii,2024,1,M01,January,2024-01-01,4.1
Hawaii,2024,2,M02,February,2024-02-01,4.5
Hawaii,2024,3,M03,March,2024-03-01,4.1
Hawaii,2024,4,M04,April,2024-04-01,3.5
Hawaii,2024,5,M05,May,2024-05-01,4.2
Hawaii,2024,6,M06,June,2024-06-01,3.9
Hawaii,2024,7,M07,July,2024-07-01,4.2
Hawaii,2024,8,M08,August,2024-08-01,3.9
Hawaii,2024,9,M09,September,2024-09-01,3.9
Hawaii,2024,10,M10,October,2024-10-01,5.6
Hawaii,2024,11,M11,November,2024-11-01,4.0
Hawaii,2024,12,M12,December,2024-12-01,3.7
Hawaii,2025,1,M01,January,2025-01-01,4.2
Hawaii,2025,2,M02,February,2025-02-01,3.9
Hawaii,2025,3,M03,March,2025-03-01,3.7
Hawaii,2025,4,M04,April,2025-04-01,3.4
Hawaii,2025,5,M05,May,2025-05-01,4.0
Hawaii,2025,6,M06,June,2025-06-01,3.7
Hawaii,2025,7,M07,July,2025-07-01,3.8
Hawaii,2025,8,M08,August,2025-08-01,3.8
Hawaii,2025,9,M09,September,2025-09-01,4.0
Hawaii,2025,10,M10,October,2025-10-01,4.4
Hawaii,2025,11,M11,November,2025-11-01,3.1
Hawaii,2025,12,M12,December,2025-12-01,3.1
Idaho,2022,1,M01,January,2022-01-01,7.1
Idaho,2022,2,M02,February,2022-02-01,7.4
Idaho,2022,3,M03,March,2022-03-01,7.5
Idaho,2022,4,M04,April,2022-04-01,7.4
Idaho,2022,5,M05,May,2022-05-01,7.4
Idaho,2022,6,M06,June,2022-06-01,7.2
Idaho,2022,7,M07,July,2022-07-01,7.7
Idaho,2022,8,M08,August,2022-08-01,6.4
Idaho,2022,9,M09,September,2022-09-01,7.0
Idaho,2022,10,M10,October,2022-10-01,7.1
