state,series_id,year,month,period,period_name,unemployment_rate,date
Alaska,LAUST020000000000003,2022,11,M11,November,4.1,2022-11-01
Alaska,LAUST020000000000003,2022,12,M12,December,4.0,2022-12-01
Alaska,LAUST020000000000003,2023,1,M01,January,4.7,2023-01-01
Alaska,LAUST020000000000003,2023,2,M02,February,4.8,2023-02-01
Alaska,LAUST020000000000003,2023,3,M03,March,4.4,2023-03-01
Alaska,LAUST020000000000003,2023,4,M04,April,4.0,2023-04-01
Alaska,LAUST020000000000003,2023,5,M05,May,4.0,2023-05-01
Alaska,LAUST020000000000003,2023,6,M06,June,4.4,2023-06-01
Alaska,LAUST020000000000003,2023,7,M07,July,3.7,2023-07-01
Alaska,LAUST020000000000003,2023,8,M08,August,3.7,2023-08-01
Alaska,LAUST020000000000003,2023,9,M09,September,3.9,2023-09-01
Alaska,LAUST020000000000003,2023,10,M10,October,4.1,2023-10-01
Alaska,LAUST020000000000003,2023,11,M11,November,4.4,2023-11-01
Alaska,LAUST020000000000003,2023,12,M12,December,4.6,2023-12-01
Alaska,LAUST020000000000003,2024,1,M01,January,5.1,2024-01-01
Alaska,LAUST020000000000003,2024,2,M02,February,5.3,2024-02-01
Alaska,LAUST020000000000003,2024,3,M03,March,4.8,2024-03-01
Alaska,LAUST020000000000003,2024,4,M04,April,4.5,2024-04-01
Alaska,LAUST020000000000003,2024,5,M05,May,4.3,2024-05-01
Alaska,LAUST020000000000003,2024,6,M06,June,4.9,2024-06-01
Alaska,LAUST020000000000003,2024,7,M07,July,4.4,2024-07-01
Alaska,LAUST020000000000003,2024,8,M08,August,4.1,2024-08-01
Alaska,LAUST020000000000003,2024,9,M09,September,4.0,2024-09-01
Alaska,LAUST020000000000003,2024,10,M10,October,4.4,2024-10-01
Alaska,LAUST020000000000003,2024,11,M11,November,4.9,2024-11-01
Alaska,LAUST020000000000003,2024,12,M12,December,4.7,2024-12-01
Alaska,LAUST020000000000003,2025,1,M01,January,5.4,2025-01-01
Alaska,LAUST020000000000003,2025,2,M02,February,5.4,2025-02-01
Alaska,LAUST020000000000003,2025,3,M03,March,4.9,2025-03-01
Alaska,LAUST020000000000003,2025,4,M04,April,4.7,2025-04-01
Alaska,LAUST020000000000003,2025,5,M05,May,4.5,2025-05-01
Alaska,LAUST020000000000003,2025,6,M06,June,5.1,2025-06-01
Alaska,LAUST020000000000003,2025,7,M07,July,4.5,2025-07-01
Alaska,LAUST020000000000003,2025,8,M08,August,3.9,2025-08-01
Alaska,LAUST020000000000003,2025,9,M09,September,4.3,2025-09-01
Alaska,LAUST020000000000003,2025,10,M10,October,,2025-10-01
Alaska,LAUST020000000000003,2025,11,M11,November,5.0,2025-11-01
Alaska,LAUST020000000000003,2025,12,M12,December,5.0,2025-12-01
Arizona,LAUST040000000000003,2022,1,M01,January,3.8,2022-01-01
Arizona,LAUST040000000000003,2022,2,M02,February,3.6,2022-02-01
Arizona,LAUST040000000000003,2022,3,M03,March,3.3,2022-03-01
Arizona,LAUST040000000000003,2022,4,M04,April,3.4,2022-04-01
Arizona,LAUST040000000000003,2022,5,M05,May,3.6,2022-05-01
Arizona,LAUST040000000000003,2022,6,M06,June,4.2,2022-06-01
Arizona,LAUST040000000000003,2022,7,M07,July,4.2,2022-07-01
Arizona,LAUST040000000000003,2022,8,M08,August,4.3,2022-08-01
Arizona,LAUST040000000000003,2022,9,M09,September,3.9,2022-09-01
Arizona,LAUST040000000000003,2022,10,M10,October,3.8,2022-10-01
Arizona,LAUST040000000000003,2022,11,M11,November,3.5,2022-11-01
Arizona,LAUST040000000000003,2022,12,M12,December,3.3,2022-12-01
Arizona,LAUST040000000000003,2023,1,M01,January,3.5,2023-01-01
Arizona,LAUST040000000000003,2023,2,M02,February,3.5,2023-02-01
Arizona,LAUST040000000000003,2023,3,M03,March,3.4,2023-03-01
Arizona,LAUST040000000000003,2023,4,M04,April,3.3,2023-04-01
Arizona,LAUST040000000000003,2023,5,M05,May,3.7,2023-05-01
Arizona,LAUST040000000000003,2023,6,M06,June,4.1,2023-06-01
Arizona,LAUST040000000000003,2023,7,M07,July,4.2,2023-07-01
Arizona,LAUST040000000000003,2023,8,M08,August,4.2,2023-08-01
Arizona,LAUST040000000000003,2023,9,M09,September,3.9,2023-09-01
Arizona,LAUST040000000000003,2023,10,M10,October,3.8,2023-10-01
Arizona,LAUST040000000000003,2023,11,M11,November,3.4,2023-11-01
Arizona,LAUST040000000000003,2023,12,M12,December,3.2,2023-12-01
Arizona,LAUST040000000000003,2024,1,M01,January,3.4,2024-01-01
Arizona,LAUST040000000000003,2024,2,M02,February,3.3,2024-02-01
Arizona,LAUST040000000000003,2024,3,M03,March,3.0,2024-03-01
Arizona,LAUST040000000000003,2024,4,M04,April,2.9,2024-04-01
Arizona,LAUST040000000000003,2024,5,M05,May,3.3,2024-05-01
Arizona,LAUST040000000000003,2024,6,M06,June,4.0,2024-06-01
Arizona,LAUST040000000000003,2024,7,M07,July,4.3,2024-07-01
Arizona,LAUST040000000000003,2024,8,M08,August,4.2,2024-08-01
Arizona,LAUST040000000000003,2024,9,M09,September,3.8,2024-09-01
Arizona,LAUST040000000000003,2024,10,M10,October,3.8,2024-10-01
Arizona,LAUST040000000000003,2024,11,M11,November,3.7,2024-11-01
Arizona,LAUST040000000000003,2024,12,M12,December,3.5,2024-12-01
Arizona,LAUST040000000000003,2025,1,M01,January,3.9,2025-01-01
Arizona,LAUST040000000000003,2025,2,M02,February,3.9,2025-02-01
Arizona,LAUST040000000000003,2025,3,M03,March,4.0,2025-03-01
Arizona,LAUST040000000000003,2025,4,M04,April,3.5,2025-04-01
Arizona,LAUST040000000000003,2025,5,M05,May,4.1,2025-05-01
Arizona,LAUST040000000000003,2025,6,M06,June,4.5,2025-06-01
Arizona,LAUST040000000000003,2025,7,M07,July,4.7,2025-07-01
Arizona,LAUST040000000000003,2025,8,M08,August,4.8,2025-08-01
Arizona,LAUST040000000000003,2025,9,M09,September,4.7,2025-09-01
Arizona,LAUST040000000000003,2025,10,M10,October,,2025-10-01
Arizona,LAUST040000000000003,2025,11,M11,November,4.3,2025-11-01
Arizona,LAUST040000000000003,2025,12,M12,December,4.0,2025-12-01
Arkansas,LAUST050000000000003,2022,1,M01,January,3.8,2022-01-01
Arkansas,LAUST050000000000003,2022,2,M02,February,3.6,2022-02-01
Arkansas,LAUST050000000000003,2022,3,M03,March,3.1,2022-03-01
Arkansas,LAUST050000000000003,2022,4,M04,April,2.9,2022-04-01
Arkansas,LAUST050000000000003,2022,5,M05,May,3.0,2022-05-01
Arkansas,LAUST050000000000003,2022,6,M06,June,3.6,2022-06-01
Arkansas,LAUST050000000000003,2022,7,M07,July,3.7,2022-07-01
Arkansas,LAUST050000000000003,2022,8,M08,August,3.4,2022-08-01
Arkansas,LAUST050000000000003,2022,9,M09,September,3.0,2022-09-01
Arkansas,LAUST050000000000003,2022,10,M10,October,2.6,2022-10-01
Arkansas,LAUST050000000000003,2022,11,M11,November,2.6,2022-11-01
Arkansas,LAUST050000000000003,2022,12,M12,December,2.7,2022-12-01
Arkansas,LAUST050000000000003,2023,1,M01,January,3.4,2023-01-01
Arkansas,LAUST050000000000003,2023,2,M02,February,3.2,2023-02-01
Arkansas,LAUST050000000000003,2023,3,M03,March,2.9,2023-03-01
Arkansas,LAUST050000000000003,2023,4,M04,April,2.5,2023-04-01
Arkansas,LAUST050000000000003,2023,5,M05,May,2.8,2023-05-01
Arkansas,LAUST050000000000003,2023,6,M06,June,3.4,2023-06-01
Arkansas,LAUST050000000000003,2023,7,M07,July,3.6,2023-07-01
Arkansas,LAUST050000000000003,2023,8,M08,August,3.5,2023-08-01
Arkansas,LAUST050000000000003,2023,9,M09,September,3.3,2023-09-01
Arkansas,LAUST050000000000003,2023,10,M10,October,3.0,2023-10-01
Arkansas,LAUST050000000000003,2023,11,M11,November,3.0,2023-11-01
Arkansas,LAUST050000000000003,2023,12,M12,December,3.2,2023-12-01
Arkansas,LAUST050000000000003,2024,1,M01,January,3.8,2024-01-01
Arkansas,LAUST050000000000003,2024,2,M02,February,3.8,2024-02-01
Arkansas,LAUST050000000000003,2024,3,M03,March,3.4,2024-03-01
Arkansas,LAUST050000000000003,2024,4,M04,April,3.0,2024-04-01
Arkansas,LAUST050000000000003,2024,5,M05,May,3.2,2024-05-01
Arkansas,LAUST050000000000003,2024,6,M06,June,3.8,2024-06-01
Arkansas,LAUST050000000000003,2024,7,M07,July,4.0,2024-07-01
Arkansas,LAUST050000000000003,2024,8,M08,August,3.6,2024-08-01
Arkansas,LAUST050000000000003,2024,9,M09,September,3.2,2024-09-01
Arkansas,LAUST050000000000003,2024,10,M10,October,3.1,2024-10-01
Arkansas,LAUST050000000000003,2024,11,M11,November,3.3,2024-11-01
Arkansas,LAUST050000000000003,2024,12,M12,December,3.4,2024-12-01
Arkansas,LAUST050000000000003,2025,1,M01,January,3.9,2025-01-01
Arkansas,LAUST050000000000003,2025,2,M02,February,4.2,2025-02-01
Arkansas,LAUST050000000000003,2025,3,M03,March,3.7,2025-03-01
Arkansas,LAUST050000000000003,2025,4,M04,April,3.2,2025-04-01
Arkansas,LAUST050000000000003,2025,5,M05,May,3.5,2025-05-01
Arkansas,LAUST050000000000003,2025,6,M06,June,4.2,2025-06-01
Arkansas,LAUST050000000000003,2025,7,M07,July,4.3,2025-07-01
Arkansas,LAUST050000000000003,2025,8,M08,August,4.1,2025-08-01
Arkansas,LAUST050000000000003,2025,9,M09,September,4.2,2025-09-01
Arkansas,LAUST050000000000003,2025,10,M10,October,,2025-10-01
Arkansas,LAUST050000000000003,2025,11,M11,November,4.2,2025-11-01
Arkansas,LAUST050000000000003,2025,12,M12,December,4.2,2025-12-01
California,LAUST060000000000003,2022,1,M01,January,5.6,2022-01-01
California,LAUST060000000000003,2022,2,M02,February,5.0,2022-02-01
California,LAUST060000000000003,2022,3,M03,March,4.5,2022-03-01
California,LAUST060000000000003,2022,4,M04,April,4.0,2022-04-01
California,LAUST060000000000003,2022,5,M05,May,3.7,2022-05-01
California,LAUST060000000000003,2022,6,M06,June,4.2,2022-06-01
California,LAUST060000000000003,2022,7,M07,July,4.1,2022-07-01
California,LAUST060000000000003,2022,8,M08,August,4.2,2022-08-01
California,LAUST060000000000003,2022,9,M09,September,3.8,2022-09-01
California,LAUST060000000000003,2022,10,M10,October,4.0,2022-10-01
California,LAUST060000000000003,2022,11,M11,November,4.1,2022-11-01
California,LAUST060000000000003,2022,12,M12,December,4.0,2022-12-01
California,LAUST060000000000003,2023,1,M01,January,4.7,2023-01-01
California,LAUST060000000000003,2023,2,M02,February,4.8,2023-02-01
California,LAUST060000000000003,2023,3,M03,March,4.7,2023-03-01
California,LAUST060000000000003,2023,4,M04,April,4.1,2023-04-01
California,LAUST060000000000003,2023,5,M05,May,4.3,2023-05-01
California,LAUST060000000000003,2023,6,M06,June,4.7,2023-06-01
California,LAUST060000000000003,2023,7,M07,July,4.8,2023-07-01
California,LAUST060000000000003,2023,8,M08,August,5.1,2023-08-01
California,LAUST060000000000003,2023,9,M09,September,4.8,2023-09-01
California,LAUST060000000000003,2023,10,M10,October,4.9,2023-10-01
California,LAUST060000000000003,2023,11,M11,November,4.8,2023-11-01
California,LAUST060000000000003,2023,12,M12,December,4.9,2023-12-01
California,LAUST060000000000003,2024,1,M01,January,5.4,2024-01-01
California,LAUST060000000000003,2024,2,M02,February,5.4,2024-02-01
California,LAUST060000000000003,2024,3,M03,March,5.2,2024-03-01
California,LAUST060000000000003,2024,4,M04,April,4.8,2024-04-01
California,LAUST060000000000003,2024,5,M05,May,4.7,2024-05-01
California,LAUST060000000000003,2024,6,M06,June,5.4,2024-06-01
California,LAUST060000000000003,2024,7,M07,July,5.9,2024-07-01
California,LAUST060000000000003,2024,8,M08,August,5.9,2024-08-01
California,LAUST060000000000003,2024,9,M09,September,5.2,2024-09-01
California,LAUST060000000000003,2024,10,M10,October,5.3,2024-10-01
California,LAUST060000000000003,2024,11,M11,November,5.4,2024-11-01
California,LAUST060000000000003,2024,12,M12,December,5.2,2024-12-01
California,LAUST060000000000003,2025,1,M01,January,5.5,2025-01-01
California,LAUST060000000000003,2025,2,M02,February,5.5,2025-02-01
California,LAUST060000000000003,2025,3,M03,March,5.3,2025-03-01
California,LAUST060000000000003,2025,4,M04,April,5.0,2025-04-01
California,LAUST060000000000003,2025,5,M05,May,5.0,2025-05-01
California,LAUST060000000000003,2025,6,M06,June,5.8,2025-06-01
California,LAUST060000000000003,2025,7,M07,July,6.1,2025-07-01
California,LAUST060000000000003,2025,8,M08,August,5.8,2025-08-01
California,LAUST060000000000003,2025,9,M09,September,5.6,2025-09-01
California,LAUST060000000000003,2025,10,M10,October,,2025-10-01
California,LAUST060000000000003,2025,11,M11,November,5.4,2025-11-01
California,LAUST060000000000003,2025,12,M12,December,5.1,2025-12-01
Colorado,LAUST080000000000003,2022,1,M01,January,4.2,2022-01-01
Colorado,LAUST080000000000003,2022,2,M02,February,4.0,2022-02-01
Colorado,LAUST080000000000003,2022,3,M03,March,3.4,2022-03-01
Colorado,LAUST080000000000003,2022,4,M04,April,2.9,2022-04-01
Colorado,LAUST080000000000003,2022,5,M05,May,2.8,2022-05-01
Colorado,LAUST080000000000003,2022,6,M06,June,3.0,2022-06-01
Colorado,LAUST080000000000003,2022,7,M07,July,3.0,2022-07-01
Colorado,LAUST080000000000003,2022,8,M08,August,2.9,2022-08-01
Colorado,LAUST080000000000003,2022,9,M09,September,2.6,2022-09-01
Colorado,LAUST080000000000003,2022,10,M10,October,2.8,2022-10-01
Colorado,LAUST080000000000003,2022,11,M11,November,2.9,2022-11-01
Colorado,LAUST080000000000003,2022,12,M12,December,2.7,2022-12-01
Colorado,LAUST080000000000003,2023,1,M01,January,3.2,2023-01-01
Colorado,LAUST080000000000003,2023,2,M02,February,3.4,2023-02-01
Colorado,LAUST080000000000003,2023,3,M03,March,3.0,2023-03-01
Colorado,LAUST080000000000003,2023,4,M04,April,2.7,2023-04-01
Colorado,LAUST080000000000003,2023,5,M05,May,3.1,2023-05-01
Colorado,LAUST080000000000003,2023,6,M06,June,3.6,2023-06-01
Colorado,LAUST080000000000003,2023,7,M07,July,3.4,2023-07-01
Colorado,LAUST080000000000003,2023,8,M08,August,3.5,2023-08-01
Colorado,LAUST080000000000003,2023,9,M09,September,3.3,2023-09-01
Colorado,LAUST080000000000003,2023,10,M10,October,3.4,2023-10-01
Colorado,LAUST080000000000003,2023,11,M11,November,3.5,2023-11-01
Colorado,LAUST080000000000003,2023,12,M12,December,3.7,2023-12-01
Colorado,LAUST080000000000003,2024,1,M01,January,4.1,2024-01-01
Colorado,LAUST080000000000003,2024,2,M02,February,4.2,2024-02-01
Colorado,LAUST080000000000003,2024,3,M03,March,3.8,2024-03-01
Colorado,LAUST080000000000003,2024,4,M04,April,3.7,2024-04-01
Colorado,LAUST080000000000003,2024,5,M05,May,3.9,2024-05-01
Colorado,LAUST080000000000003,2024,6,M06,June,4.4,2024-06-01
Colorado,LAUST080000000000003,2024,7,M07,July,4.6,2024-07-01
Colorado,LAUST080000000000003,2024,8,M08,August,4.6,2024-08-01
Colorado,LAUST080000000000003,2024,9,M09,September,4.3,2024-09-01
Colorado,LAUST080000000000003,2024,10,M10,October,4.4,2024-10-01
Colorado,LAUST080000000000003,2024,11,M11,November,4.7,2024-11-01
Colorado,LAUST080000000000003,2024,12,M12,December,4.5,2024-12-01
Colorado,LAUST080000000000003,2025,1,M01,January,5.0,2025-01-01
Colorado,LAUST080000000000003,2025,2,M02,February,5.2,2025-02-01
Colorado,LAUST080000000000003,2025,3,M03,March,4.6,2025-03-01
Colorado,LAUST080000000000003,2025,4,M04,April,4.6,2025-04-01
Colorado,LAUST080000000000003,2025,5,M05,May,4.5,2025-05-01
Colorado,LAUST080000000000003,2025,6,M06,June,4.5,2025-06-01
Colorado,LAUST080000000000003,2025,7,M07,July,3.9,2025-07-01
Colorado,LAUST080000000000003,2025,8,M08,August,3.7,2025-08-01
Colorado,LAUST080000000000003,2025,9,M09,September,3.9,2025-09-01
Colorado,LAUST080000000000003,2025,10,M10,October,,2025-10-01
Colorado,LAUST080000000000003,2025,11,M11,November,3.6,2025-11-01
Colorado,LAUST080000000000003,2025,12,M12,December,3.6,2025-12-01
Connecticut,LAUST090000000000003,2022,1,M01,January,5.4,2022-01-01
Connecticut,LAUST090000000000003,2022,2,M02,February,5.2,2022-02-01
Connecticut,LAUST090000000000003,2022,3,M03,March,4.5,2022-03-01
Connecticut,LAUST090000000000003,2022,4,M04,April,4.0,2022-04-01
Connecticut,LAUST090000000000003,2022,5,M05,May,4.2,2022-05-01
Connecticut,LAUST090000000000003,2022,6,M06,June,4.1,2022-06-01
Connecticut,LAUST090000000000003,2022,7,M07,July,4.2,2022-07-01
Connecticut,LAUST090000000000003,2022,8,M08,August,4.0,2022-08-01
Connecticut,LAUST090000000000003,2022,9,M09,September,3.4,2022-09-01
Connecticut,LAUST090000000000003,2022,10,M10,October,3.5,2022-10-01
Connecticut,LAUST090000000000003,2022,11,M11,November,3.2,2022-11-01
Connecticut,LAUST090000000000003,2022,12,M12,December,2.9,2022-12-01
Connecticut,LAUST090000000000003,2023,1,M01,January,3.9,2023-01-01
Connecticut,LAUST090000000000003,2023,2,M02,February,4.0,2023-02-01
Connecticut,LAUST090000000000003,2023,3,M03,March,3.4,2023-03-01
Connecticut,LAUST090000000000003,2023,4,M04,April,2.6,2023-04-01
Connecticut,LAUST090000000000003,2023,5,M05,May,3.1,2023-05-01
Connecticut,LAUST090000000000003,2023,6,M06,June,3.1,2023-06-01
Connecticut,LAUST090000000000003,2023,7,M07,July,3.3,2023-07-01
Connecticut,LAUST090000000000003,2023,8,M08,August,3.3,2023-08-01
Connecticut,LAUST090000000000003,2023,9,M09,September,2.9,2023-09-01
Connecticut,LAUST090000000000003,2023,10,M10,October,3.1,2023-10-01
Connecticut,LAUST090000000000003,2023,11,M11,November,2.9,2023-11-01
Connecticut,LAUST090000000000003,2023,12,M12,December,2.9,2023-12-01
Connecticut,LAUST090000000000003,2024,1,M01,January,3.7,2024-01-01
Connecticut,LAUST090000000000003,2024,2,M02,February,3.8,2024-02-01
Connecticut,LAUST090000000000003,2024,3,M03,March,3.3,2024-03-01
Connecticut,LAUST090000000000003,2024,4,M04,April,2.7,2024-04-01
Connecticut,LAUST090000000000003,2024,5,M05,May,3.1,2024-05-01
Connecticut,LAUST090000000000003,2024,6,M06,June,3.0,2024-06-01
Connecticut,LAUST090000000000003,2024,7,M07,July,3.6,2024-07-01
Connecticut,LAUST090000000000003,2024,8,M08,August,3.4,2024-08-01
Connecticut,LAUST090000000000003,2024,9,M09,September,2.8,2024-09-01
Connecticut,LAUST090000000000003,2024,10,M10,October,2.9,2024-10-01
Connecticut,LAUST090000000000003,2024,11,M11,November,2.9,2024-11-01
Connecticut,LAUST090000000000003,2024,12,M12,December,2.7,2024-12-01
Connecticut,LAUST090000000000003,2025,1,M01,January,4.0,2025-01-01
Connecticut,LAUST090000000000003,2025,2,M02,February,4.5,2025-02-01
Connecticut,LAUST090000000000003,2025,3,M03,March,4.1,2025-03-01
Connecticut,LAUST090000000000003,2025,4,M04,April,3.4,2025-04-01
Connecticut,LAUST090000000000003,2025,5,M05,May,3.9,2025-05-01
Connecticut,LAUST090000000000003,2025,6,M06,June,3.4,2025-06-01
Connecticut,LAUST090000000000003,2025,7,M07,July,4.2,2025-07-01
Connecticut,LAUST090000000000003,2025,8,M08,August,3.8,2025-08-01
Connecticut,LAUST090000000000003,2025,9,M09,September,3.8,2025-09-01
Connecticut,LAUST090000000000003,2025,10,M10,October,,2025-10-01
Connecticut,LAUST090000000000003,2025,11,M11,November,4.2,2025-11-01
Connecticut,LAUST090000000000003,2025,12,M12,December,4.1,2025-12-01
Delaware,LAUST100000000000003,2022,1,M01,January,5.1,2022-01-01
Delaware,LAUST100000000000003,2022,2,M02,February,4.7,2022-02-01
Delaware,LAUST100000000000003,2022,3,M03,March,4.4,2022-03-01
Delaware,LAUST100000000000003,2022,4,M04,April,4.1,2022-04-01
Delaware,LAUST100000000000003,2022,5,M05,May,3.9,2022-05-01
Delaware,LAUST100000000000003,2022,6,M06,June,4.5,2022-06-01
Delaware,LAUST100000000000003,2022,7,M07,July,4.3,2022-07-01
Delaware,LAUST100000000000003,2022,8,M08,August,4.4,2022-08-01
Delaware,LAUST100000000000003,2022,9,M09,September,3.8,2022-09-01
Delaware,LAUST100000000000003,2022,10,M10,October,4.0,2022-10-01
Delaware,LAUST100000000000003,2022,11,M11,November,3.7,2022-11-01
Delaware,LAUST100000000000003,2022,12,M12,December,3.5,2022-12-01
Delaware,LAUST100000000000003,2023,1,M01,January,4.2,2023-01-01
Delaware,LAUST100000000000003,2023,2,M02,February,4.2,2023-02-01
Delaware,LAUST100000000000003,2023,3,M03,March,4.0,2023-03-01
Delaware,LAUST100000000000003,2023,4,M04,April,3.5,2023-04-01
Delaware,LAUST100000000000003,2023,5,M05,May,3.6,2023-05-01
Delaware,LAUST100000000000003,2023,6,M06,June,4.1,2023-06-01
Delaware,LAUST100000000000003,2023,7,M07,July,3.9,2023-07-01
Delaware,LAUST100000000000003,2023,8,M08,August,4.2,2023-08-01
Delaware,LAUST100000000000003,2023,9,M09,September,3.7,2023-09-01
Delaware,LAUST100000000000003,2023,10,M10,October,3.8,2023-10-01
Delaware,LAUST100000000000003,2023,11,M11,November,3.4,2023-11-01
Delaware,LAUST100000000000003,2023,12,M12,December,3.4,2023-12-01
Delaware,LAUST100000000000003,2024,1,M01,January,4.0,2024-01-01
Delaware,LAUST100000000000003,2024,2,M02,February,4.0,2024-02-01
Delaware,LAUST100000000000003,2024,3,M03,March,3.8,2024-03-01
Delaware,LAUST100000000000003,2024,4,M04,April,3.5,2024-04-01
Delaware,LAUST100000000000003,2024,5,M05,May,3.4,2024-05-01
Delaware,LAUST100000000000003,2024,6,M06,June,4.1,2024-06-01
Delaware,LAUST100000000000003,2024,7,M07,July,4.2,2024-07-01
Delaware,LAUST100000000000003,2024,8,M08,August,4.1,2024-08-01
Delaware,LAUST100000000000003,2024,9,M09,September,3.4,2024-09-01
Delaware,LAUST100000000000003,2024,10,M10,October,3.4,2024-10-01
Delaware,LAUST100000000000003,2024,11,M11,November,3.2,2024-11-01
Delaware,LAUST100000000000003,2024,12,M12,December,3.1,2024-12-01
Delaware,LAUST100000000000003,2025,1,M01,January,4.0,2025-01-01
Delaware,LAUST100000000000003,2025,2,M02,February,4.1,2025-02-01
Delaware,LAUST100000000000003,2025,3,M03,March,4.1,2025-03-01
Delaware,LAUST100000000000003,2025,4,M04,April,3.9,2025-04-01
Delaware,LAUST100000000000003,2025,5,M05,May,3.8,2025-05-01
Delaware,LAUST100000000000003,2025,6,M06,June,4.5,2025-06-01
Delaware,LAUST100000000000003,2025,7,M07,July,4.7,2025-07-01
Delaware,LAUST100000000000003,2025,8,M08,August,5.2,2025-08-01
Delaware,LAUST100000000000003,2025,9,M09,September,5.0,2025-09-01
Delaware,LAUST100000000000003,2025,10,M10,October,,2025-10-01
Delaware,LAUST100000000000003,2025,11,M11,November,5.4,2025-11-01
Delaware,LAUST100000000000003,2025,12,M12,December,5.1,2025-12-01
Florida,LAUST120000000000003,2022,1,M01,January,3.7,2022-01-01
Florida,LAUST120000000000003,2022,2,M02,February,3.3,2022-02-01
Florida,LAUST120000000000003,2022,3,M03,March,3.0,2022-03-01
Florida,LAUST120000000000003,2022,4,M04,April,2.8,2022-04-01
Florida,LAUST120000000000003,2022,5,M05,May,2.8,2022-05-01
